state,district,pincode,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Andhra Pradesh,Anakapalli,531060,2025-07-01,1.25,0.17646378728987422,2.323536212710126,2025-06-01,1
Andhra Pradesh,Anakapalli,531061,2025-08-01,1.0,1.0,1.0,2025-07-01,1
Andhra Pradesh,Anakapalli,531075,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Andhra Pradesh,Anakapalli,531081,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Anakapalli,531083,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Anakapalli,531084,2025-09-01,1.0,1.0,1.0,2025-08-01,1
Andhra Pradesh,Anakapalli,531085,2025-04-01,1.0,1.0,1.0,2025-03-01,1
Andhra Pradesh,Anakapalli,531113,2025-12-01,1.5,0.2973988974873232,2.702601102512677,2025-11-01,1
Andhra Pradesh,Anakapalli,531114,2026-01-01,1.03125,0.6133765959430035,1.4491234040569965,2025-12-01,1
Andhra Pradesh,Anakapalli,531115,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Anakapalli,531116,2026-01-01,1.7578125,0.729389692950084,2.7862353070499157,2025-12-01,2
Andhra Pradesh,Anakapalli,531126,2025-12-01,2.1875,0.0,4.769419030944414,2025-11-01,3
Andhra Pradesh,Anakapalli,531127,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Andhra Pradesh,Anantapur,515001,2026-01-01,4.67724609375,0.008868435813528919,9.345623751686471,2025-12-01,5
Andhra Pradesh,Anantapur,515002,2025-11-01,1.5,0.2603871572139953,2.7396128427860047,2025-10-01,1
Andhra Pradesh,Anantapur,515003,2025-12-01,2.0,2.0,2.0,2025-11-01,2
Andhra Pradesh,Anantapur,515004,2026-01-01,1.828125,0.44932135655417293,3.206928643445827,2025-12-01,2
Andhra Pradesh,Anantapur,515101,2026-01-01,1.0703125,0.21189809100831225,1.9287269089916879,2025-12-01,1
Andhra Pradesh,Anantapur,515110,2025-12-01,1.59375,0.0,3.908233784910976,2025-11-01,1
Andhra Pradesh,Anantapur,515122,2025-12-01,1.875,0.0,4.101410390248494,2025-11-01,2
Andhra Pradesh,Anantapur,515123,2026-01-01,1.78125,0.47482284697601385,3.087677153023986,2025-12-01,2
Andhra Pradesh,Anantapur,515124,2025-12-01,1.75,0.7023359317032964,2.7976640682967036,2025-11-01,2
Andhra Pradesh,Anantapur,515133,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Anantapur,515134,2025-09-01,1.0,1.0,1.0,2025-08-01,1
Andhra Pradesh,Anantapur,515144,2025-12-01,1.3125,0.0,2.679391423123132,2025-11-01,1
Andhra Pradesh,Anantapur,515154,2026-01-01,2.0,2.0,2.0,2025-12-01,2
Andhra Pradesh,Anantapur,515159,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Anantapur,515164,2026-01-01,1.125,0.3248333506908285,1.9251666493091715,2025-12-01,1
Andhra Pradesh,Anantapur,515201,2026-01-01,2.765625,1.3667287724984991,4.164521227501501,2025-12-01,3
Andhra Pradesh,Anantapur,515211,2025-11-01,1.0625,0.48114754710519747,1.6438524528948024,2025-10-01,1
Andhra Pradesh,Anantapur,515212,2025-11-01,1.0625,0.4802932447297156,1.6447067552702843,2025-10-01,1
Andhra Pradesh,Anantapur,515231,2026-01-01,1.79296875,0.7974572669720708,2.7884802330279292,2025-12-01,2
Andhra Pradesh,Anantapur,515241,2026-01-01,1.5,0.2973988974873232,2.702601102512677,2025-12-01,2
Andhra Pradesh,Anantapur,515261,2025-11-01,1.5,0.0,3.4014793002848505,2025-10-01,1
Andhra Pradesh,Anantapur,515271,2025-11-01,1.4375,0.0,2.902688203128948,2025-10-01,1
Andhra Pradesh,Anantapur,515281,2026-01-01,1.5,0.29026173629719954,2.7097382637028007,2025-12-01,2
Andhra Pradesh,Anantapur,515291,2025-10-01,1.6875,0.0,3.5347262194659193,2025-09-01,2
Andhra Pradesh,Anantapur,515301,2025-11-01,3.09375,0.0,7.727282864702361,2025-10-01,5
Andhra Pradesh,Anantapur,515303,2026-01-01,1.6875,0.574804537580313,2.800195462419687,2025-12-01,2
Andhra Pradesh,Anantapur,515305,2026-01-01,1.5,0.0,3.6470724254202516,2025-12-01,1
Andhra Pradesh,Anantapur,515311,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Anantapur,515321,2025-12-01,1.5625,0.0,6.80236079743256,2025-11-01,1
Andhra Pradesh,Anantapur,515331,2026-01-01,3.2890625,0.0,7.5023970058205505,2025-12-01,3
Andhra Pradesh,Anantapur,515341,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Anantapur,515401,2026-01-01,2.7060546875,0.5157484263830714,4.896360948616929,2025-12-01,3
Andhra Pradesh,Anantapur,515402,2025-12-01,1.0009765625,0.9259975410437514,1.0759555839562487,2025-11-01,1
Andhra Pradesh,Anantapur,515405,2026-01-01,1.28125,0.20183135304942268,2.360668646950577,2025-12-01,1
Andhra Pradesh,Anantapur,515408,2026-01-01,1.8203125,0.0,4.114116291941997,2025-12-01,2
Andhra Pradesh,Anantapur,515411,2026-01-01,5.34814453125,0.0,11.504175450053035,2025-12-01,7
Andhra Pradesh,Anantapur,515414,2025-08-01,1.0,1.0,1.0,2025-07-01,1
Andhra Pradesh,Anantapur,515415,2025-10-01,1.5,0.2603871572139953,2.7396128427860047,2025-09-01,2
Andhra Pradesh,Anantapur,515425,2026-01-01,2.373046875,0.186631751385832,4.559461998614168,2025-12-01,3
Andhra Pradesh,Anantapur,515435,2026-01-01,1.609375,0.43815821222642826,2.780591787773572,2025-12-01,2
Andhra Pradesh,Anantapur,515445,2026-01-01,1.34375,0.0,2.999402632959475,2025-12-01,1
Andhra Pradesh,Anantapur,515455,2026-01-01,1.359375,0.0,2.911046390006306,2025-12-01,1
Andhra Pradesh,Anantapur,515465,2026-01-01,1.609375,0.22665333146563094,2.9920966685343693,2025-12-01,2
Andhra Pradesh,Anantapur,515501,2026-01-01,1.40625,0.0,2.9787698785161494,2025-12-01,1
Andhra Pradesh,Anantapur,515511,2025-10-01,1.5,0.0,3.595328136593407,2025-09-01,1
Andhra Pradesh,Anantapur,515521,2025-12-01,1.19140625,0.07247141661417822,2.310341083385822,2025-11-01,1
Andhra Pradesh,Anantapur,515531,2026-01-01,1.0625,0.4802932447297156,1.6447067552702843,2025-12-01,1
Andhra Pradesh,Anantapur,515541,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Anantapur,515551,2026-01-01,1.203125,0.23722645460302094,2.1690235453969793,2025-12-01,1
Andhra Pradesh,Anantapur,515556,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Anantapur,515561,2025-12-01,2.640625,0.0,6.019031846505142,2025-11-01,4
Andhra Pradesh,Anantapur,515571,2025-10-01,1.59375,0.0,4.201209185061106,2025-09-01,1
Andhra Pradesh,Anantapur,515581,2026-01-01,1.28125,0.2014357442228909,2.361064255777109,2025-12-01,1
Andhra Pradesh,Anantapur,515591,2026-01-01,3.33203125,0.0,7.918493006464128,2025-12-01,2
Andhra Pradesh,Anantapur,515601,2026-01-01,1.125,0.3248333506908285,1.9251666493091715,2025-12-01,1
Andhra Pradesh,Anantapur,515611,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Anantapur,515621,2026-01-01,1.25390625,0.0,3.106645880451818,2025-12-01,1
Andhra Pradesh,Anantapur,515631,2026-01-01,1.2890625,0.14046312205573086,2.437661877944269,2025-12-01,1
Andhra Pradesh,Anantapur,515641,2026-01-01,1.3125,0.19929480487575302,2.425705195124247,2025-12-01,1
Andhra Pradesh,Anantapur,515651,2026-01-01,1.375,0.2036759628522944,2.5463240371477056,2025-12-01,1
Andhra Pradesh,Anantapur,515661,2025-12-01,1.75,0.15910827816968154,3.3408917218303182,2025-11-01,2
Andhra Pradesh,Anantapur,515671,2025-12-01,2.384765625,0.0,4.816019954097091,2025-11-01,2
Andhra Pradesh,Anantapur,515672,2025-12-01,1.015625,0.7179068883925186,1.3133431116074814,2025-11-01,1
Andhra Pradesh,Anantapur,515701,2026-01-01,4.0234375,1.091637940313984,6.9552370596860165,2025-12-01,5
Andhra Pradesh,Anantapur,515711,2026-01-01,2.87109375,0.005726080096841724,5.736461419903158,2025-12-01,4
Andhra Pradesh,Anantapur,515721,2026-01-01,1.625,0.4536759628522944,2.7963240371477056,2025-12-01,2
Andhra Pradesh,Anantapur,515722,2026-01-01,1.515625,0.3158147585932116,2.715435241406788,2025-12-01,2
Andhra Pradesh,Anantapur,515731,2025-12-01,2.9140625,0.22968142119776358,5.598443578802236,2025-11-01,4
Andhra Pradesh,Anantapur,515741,2026-01-01,1.765625,0.7486309375409692,2.782619062459031,2025-12-01,2
Andhra Pradesh,Anantapur,515751,2026-01-01,1.93359375,0.6975681788104433,3.1696193211895567,2025-12-01,2
Andhra Pradesh,Anantapur,515761,2026-01-01,2.83447265625,0.0,6.121872257505277,2025-12-01,2
Andhra Pradesh,Anantapur,515763,2026-01-01,1.0625,0.4814137463283189,1.643586253671681,2025-12-01,1
