state,district,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Bihar,Nalanda,2026-01-01,311.794921875,89.54974597966458,534.0400977703355,2025-12-01,341
Bihar,Nawada,2026-01-01,317.76904296875,111.98650716768972,523.5515787698102,2025-12-01,305
Bihar,Pashchim Champaran,2026-01-01,18.115234375,0.0,1228.7812844636383,2025-12-01,2
Bihar,Patna,2026-01-01,486.02099609375,82.48007202731202,889.561920160188,2025-12-01,501
Bihar,Purba Champaran,2026-01-01,3.9873046875,0.7617753070294602,7.21283406797054,2025-12-01,5
Bihar,Purbi Champaran,2025-10-01,7362.5,0.0,27243.655681197204,2025-09-01,190
Bihar,Purnea,2026-01-01,8.1142578125,0.0,18.460877610172027,2025-12-01,6
Bihar,Purnia,2026-01-01,356.6748046875,105.3055055371301,608.0441038378699,2025-12-01,318
Bihar,Rohtas,2026-01-01,205.7939453125,134.12886421890764,277.45902640609233,2025-12-01,196
Bihar,Saharsa,2026-01-01,334.189453125,159.48374265152242,508.89516359847755,2025-12-01,359
Bihar,Samastipur,2026-01-01,528.84375,348.82605016354995,708.86144983645,2025-12-01,575
Bihar,Samstipur,2025-11-01,3.484375,1.1029799892344294,5.865770010765571,2025-10-01,4
Bihar,Saran,2026-01-01,576.5986328125,298.2813962210454,854.9158694039546,2025-12-01,629
Bihar,Sheikhpura,2026-01-01,97.63916015625,63.17381019140612,132.10451012109388,2025-12-01,97
Bihar,Sheikpura,2025-11-01,2.125,0.0,4.3546821192585226,2025-10-01,3
Bihar,Sheohar,2026-01-01,74.99267578125,39.832308343459175,110.15304321904082,2025-12-01,66
Bihar,Sitamarhi,2026-01-01,418.64892578125,0.0,1852.8835335979734,2025-12-01,335
Bihar,Siwan,2026-01-01,398.87841796875,261.5062092335545,536.2506267039455,2025-12-01,407
Bihar,Supaul,2026-01-01,213.4287109375,96.4441040965098,330.4133177784902,2025-12-01,186
Bihar,Vaishali,2026-01-01,546.22802734375,370.4614982173566,721.9945564701434,2025-12-01,593
Bihar,West Champaran,2026-01-01,447.7578125,0.0,1101.5363963385537,2025-12-01,406
Chandigarh,Chandigarh,2026-01-01,65.65673828125,22.34056313620382,108.97291342629617,2025-12-01,52
Chandigarh,Rupnagar,2025-06-01,1.0,1.0,1.0,2025-05-01,1
Chhattisgarh,Balod,2026-01-01,46.3759765625,22.41998965987255,70.33196346512744,2025-12-01,42
Chhattisgarh,Baloda Bazar,2026-01-01,119.31103515625,50.89412850588148,187.7279418066185,2025-12-01,131
Chhattisgarh,Balrampur,2026-01-01,128.8642578125,8.598286190460072,249.13022943453993,2025-12-01,115
Chhattisgarh,Bastar,2026-01-01,115.998046875,81.80877263418789,150.1873211158121,2025-12-01,112
Chhattisgarh,Bemetara,2026-01-01,72.5068359375,38.34901721333372,106.66465466166628,2025-12-01,63
Chhattisgarh,Bijapur,2026-01-01,71.93017578125,0.0,248.2224102434809,2025-12-01,84
Chhattisgarh,Bilaspur,2026-01-01,231.91650390625,112.00030572861539,351.8327020838846,2025-12-01,240
Chhattisgarh,Dakshin Bastar Dantewada,2026-01-01,14.34716796875,0.0,32.828907063412565,2025-12-01,10
Chhattisgarh,Dantewada,2026-01-01,13.03857421875,0.0,26.71468242053239,2025-12-01,10
Chhattisgarh,Dhamtari,2026-01-01,52.88330078125,25.768334736368796,79.9982668261312,2025-12-01,45
Chhattisgarh,Durg,2026-01-01,98.61181640625,41.27085643625347,155.95277637624653,2025-12-01,100
Chhattisgarh,Gariyaband,2026-01-01,44.3583984375,17.136046357755742,71.58075051724425,2025-12-01,47
Chhattisgarh,Gaurela-pendra-marwahi,2026-01-01,2.916015625,1.0379594672419281,4.794071782758072,2025-12-01,3
Chhattisgarh,Gaurella Pendra Marwahi,2025-02-01,983.0,983.0,983.0,2025-01-01,983
Chhattisgarh,Janjgir - Champa,2026-01-01,2.0,0.0,4.400573208725845,2025-12-01,3
